subitem;size; 
Provisions and livestock;1; 
Alcoholic beverages and tobacco;1; 
Raw materials, inedible;1; 
Mineral fuels and lubricants etc.;1; 
Animal or vegetable fats and oils;1; 
Chemicals and chemical products;1; 
Manufactured products mainlysemi-manufactured products;1; 
Machinery and transport equipment;1; 
Manufactured products;1; 
Miscellaneous articles and transactions;1; 
Live Animals Other Than Fish, Crustaceans, Molluscs And Aquatic Invertebrates Of Division;51;Live Animals (Not Fish)
Meat And Meat Preparations;34924;Meat
Dairy Products And Birds Eggs;2;Dairy and Eggs
Fish (Not Marine Mammals), Crustaceans, Molluscs And Aquatic Invertebrates, And Preparations Thereo;5063644084;Fish
Cereals And Cereal Preparations;2;Cereals
Vegetables And Fruit;41;Vegetables And Fruit
Sugars, Sugar Preparations And Honey;1001;Sugar
Coffee, Tea, Cocoa, Spices And Manufactures Thereof;2;Coffee
Feeding Stuff For Animals (Not Including Unmilled Cereals);4243437;Fodder
Miscellaneous Edible Products And Preparations;2;Misc. Edible
Beverages;56221;Beverage
Tobacco And Tobacco Manufactures;2;Tobacco
Hides, Skins And Furskins, Raw;671938;Hides and Skins
Oil Seeds And Oleaginous Fruits;2;Oil Seeds
Crude Rubber (Including Synthetic And Reclaimed);2;Crude Rubber
Cork And Wood;2;Cork and Wood
Pulp And Waste Paper;2;Pulp
Textile Fibers (Other Than Wool Tops And Other Combed Wool) And Their Wastes (Not Manufactured Into;142476;Textile Fibers
Crude Fertilizers (Imports Only), Except Those Of Division 56, And Crude Minerals (Excluding Coal,;29117;Crude Fertilizers
Metalliferous Ores And Metal Scrap;6790812;Metal Ores and Scrap
Crude Animal And Vegetable Materials, N.E.S.;247951;Crude Animal + Vegetable Materials
Coal, Coke And Briquettes;2;Coal
Petroleum, Petroleum Products And Related Materials;3863;Petroleum
Gas, Natural And Manufactured;2;Gas
Electric Current;2;Electric Current
Animal Oils And Fats;2;Animal Oils and Fats
Fixed Vegetable Fats And Oils, Crude, Refined Or Fractionated;2;Fixed Veg. Fats and Oils
Animal Or Vegetable Fats And Oils Processed, Waxes And Inedible Mixtures Or Preparations Of Animal;301;Processed Animal/Veg. Fats and Oils
Organic Chemicals;2;Organic Chemicals
Inorganic Chemicals;1501;Inorganic Chemicals
Dyeing, Tanning And Coloring Materials;18601;Dye
Medicinal And Pharmaceutical Products;39851;Pharmaceuticals
Essential Oils And Resinoids And Perfume Materials, Toilet, Polishing And Cleansing Preparations;5622;Perfume Materials and Essential Oils
Fertilizers (Exports Include Group 272, Imports Exclude Group 272);2;Fertilizers
Plastics In Primary Forms;119251;Plastics (Primary Form)
Plastics In Nonprimary Forms;11086;Plastics (Nonprimary Form)
Chemical Materials And Products, N.E.S.;614;Chemical Materials
Leather, Leather Manufactures, N.E.S., And Dressed Furskins;2838227;Leather
Rubber Manufactures, N.E.S.;4021;Rubber
Cork And Wood Manufactures Other Than Furniture;15601;Cork and Wood
Paper, Paperboard, And Articles Of Paper Pulp, Paper Or Paper Board;3501;Paper
Textile Yarn, Fabrics, Made-Up Articles, N.E.S., And Related Products;11946;Textile Yarns
Nonmetallic Mineral Manufactures, N.E.S.;2593016;Nonmetallic Mineral Manufactures
Iron And Steel;7601;Iron and Steel
Nonferrous Metals;2;Nonferrous Metals
Manufactures Of Metals, N.E.S.;224846;Manufactures of Metals
Power Generating Machinery And Equipment;842292;Power Generating Machinery
Machinery Specialized For Particular Industries;553423;Specialized Machinery
Metalworking Machinery;1701;Metalworking Machinery
General Industrial Machinery And Equipment, N.E.S., And Machine Parts, N.E.S.;487859;General Industrial Machinery
Office Machines And Automatic Data Processing Machines;515103;Office Machines
Telecommunications And Sound Recording And Reproducing Apparatus And Equipment;592094;Telecommunications
Electrical Machinery, Apparatus And Appliances, N.E.S., And Electrical Parts Thereof (Including Non;726680;Electrical Machinery
Road Vehicles (Including Air-Cushion Vehicles);665138;Road Vehicles
Transport Equipment, N.E.S.;310891427;Transport Equipment
Prefabricated Buildings, Sanitary, Plumbing, Heating And Lighting Fixtures And Fittings, N.E.S;8201;Prefabricated Buildings
Furniture And Parts Thereof, Bedding, Mattresses, Mattress Supports, Cushions And Similar Stuffed Furniture;19301;Furniture
Travel Goods, Handbags And Similar Containers;236946;Travel Goods
Articles Of Apparel And Clothing Accessories;464566;Apparel
Footwear;9241;Footwear
Profssional, Scientific And Controlling Instruments And Apparatus, N.E.S.;4723707;Scientific Instruments
Photographic Apparatus, Equipment And Supplies And Optical Goods, N.E.S., Watches And Clocks;16569;Photo Equipment
Miscellaneous Manufactured Articles, N.E.S.;6241221;Misc. Manufactured
Special Transactions And Commodities Not Classified According To Kind;108924249;Special Transactions + Commodities
Coin (Other Than Gold Coin), Not Being Legal Tender;2;Coin
Gold, Nonmonetary (Excluding Gold Ores And Concentrates);2;Gold
Root;1; 