"DateTime";"Luftfugtighed"
"2020-05-01 00:00:00";86,9
"2020-05-02 00:00:00";89,1
"2020-05-03 00:00:00";75,9
"2020-05-04 00:00:00";67,3
"2020-05-05 00:00:00";62
"2020-05-06 00:00:00";72,6
"2020-05-07 00:00:00";72,2
"2020-05-08 00:00:00";71,3
"2020-05-09 00:00:00";68,8
"2020-05-10 00:00:00";72,4
"2020-05-11 00:00:00";53,8
"2020-05-12 00:00:00";67
"2020-05-13 00:00:00";59,5
"2020-05-14 00:00:00";62,1
"2020-05-15 00:00:00";74,6
"2020-05-16 00:00:00";82,4
"2020-05-17 00:00:00";77,8
"2020-05-18 00:00:00";90,1
"2020-05-19 00:00:00";76,7
"2020-05-20 00:00:00";73,9
"2020-05-21 00:00:00";70,6
"2020-05-22 00:00:00";82,7
"2020-05-23 00:00:00";80,4
"2020-05-24 00:00:00";86,1
"2020-05-25 00:00:00";74,6
"2020-05-26 00:00:00";79
"2020-05-27 00:00:00";73
"2020-05-28 00:00:00";72
"2020-05-29 00:00:00";72,1
"2020-05-30 00:00:00";65,1
"2020-05-31 00:00:00";67