"DateTime";"Middel vindhastighed";"Højeste 10 min. middel";"Højeste vindstød"
"2020-06-01 00:00:00";1,4;4,2;6,8
"2020-06-02 00:00:00";1,5;4,4;6,7
"2020-06-03 00:00:00";2,3;6,4;8,1
"2020-06-04 00:00:00";4,8;10,3;14,8
"2020-06-05 00:00:00";4;9,6;13,5
"2020-06-06 00:00:00";4,7;10,8;15,3
"2020-06-07 00:00:00";3,2;8,1;10,7
"2020-06-08 00:00:00";1,8;5,4;7,8
"2020-06-09 00:00:00";1,6;4,5;6,4
"2020-06-10 00:00:00";2,2;5,5;9,2
"2020-06-11 00:00:00";3,7;7,5;11,8
"2020-06-12 00:00:00";3;6,2;10
"2020-06-13 00:00:00";3,5;7,2;10,5
"2020-06-14 00:00:00";3,9;7,6;11,3
"2020-06-15 00:00:00";1,2;4,1;6,2
"2020-06-16 00:00:00";1,9;4,7;8,1
"2020-06-17 00:00:00";1,7;4,5;7,4
"2020-06-18 00:00:00";1,5;4,1;6,7
"2020-06-19 00:00:00";1,7;5,1;7,6
"2020-06-20 00:00:00";3,8;7,7;11,1
"2020-06-21 00:00:00";2,1;6,1;8
"2020-06-22 00:00:00";3,2;8,2;11,5
"2020-06-23 00:00:00";2,5;6,3;8,9
"2020-06-24 00:00:00";1,4;4,1;6,7
"2020-06-25 00:00:00";2,2;4,8;7,8
"2020-06-26 00:00:00";2,8;6,2;9,2
"2020-06-27 00:00:00";2,4;5,6;8,5
"2020-06-28 00:00:00";3,3;8,1;12,2
"2020-06-29 00:00:00";4,7;10,6;14,2
"2020-06-30 00:00:00";6;11,6;16,4